"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Lasse Valdal;Actor;NA;NA;NA
Andreas Blix Henriksen;Actor;NA;NA;NA
Sarah Elise Steensby;Actress;1981;Norway;NA
Hanna Kavli Lund;Actress;NA;NA;NA
Calle Hellevang Larsen;Actor;NA;NA;NA
Marit Andreassen;Actress;1966;Norway;NA
Oyvind Angeltveit;Actor;NA;NA;NA
Benny Borg;Actor, Soundtrack;1945-11-13;Sweden;NA
Christin Borge;Actress;1964;NA;NA
Carl Martin Eggesbo;Actor;NA;NA;NA
Alexander Eik;Actor, Director, Writer;1972-01-08;Norway;NA
Thea Danielsen Fjortoft;Stunts, Actress;NA;NA;NA
Irene Furnes;Actress;NA;NA;NA
Stein Gronli;Actor;NA;NA;NA
Kjell Gundersen;Actor;NA;NA;NA
Drew Godderis;Actor;NA;NA;NA
Sky Nicholas;Music Department, Actress, Camera Department;NA;NA;NA
Donald Trimborn;Actor, Camera Department;NA;NA;NA
Michelle Fox;Actress;NA;NA;NA
Katina Garner;Actress, Producer;NA;NA;NA
Kristie Etzold;Actress;NA;NA;NA
Ron McGonigle;Actor;NA;NA;NA
Eric Caidin;Actor, Miscellaneous Crew;NA;NA;NA
Tommy Carrano;Actor;NA;NA;NA
Sheila Best;Actress;NA;NA;NA
Dusty Carlson;Actress;NA;NA;NA
Annette Munro;Actress;NA;NA;NA
Marya Gant;Actress;NA;NA;NA
Rod Dailey;Actor, Miscellaneous Crew, Camera Department;NA;NA;NA
Diana de la Cruz;Actress;NA;NA;NA
Amy Waddell;Actress;NA;NA;NA
Gary J. Levinson;Actor, Producer, Director;NA;NA;NA
Nancy Milholland;Actress;NA;NA;NA
Wayne Hyde;Editorial Department, Editor, Actor;NA;NA;NA
Cheryl Rusa;Stunts, Actress;1961-07-20;USA;NA
Dena Kellogg;Actress;NA;NA;NA
Annette Kellogg;Actress;NA;NA;NA
Matthew Borlenghi;Actor, Producer, Writer;1967-05-25;USA;NA
Bonnie Bradigan;Actress;NA;NA;NA
Douglas Dunning;Actor, Producer, Miscellaneous Crew;NA;NA;NA
Mahmoud Asfa;Actor;NA;NA;NA
Ruba Blal;Actress;NA;NA;NA
Saleh Bakri;Actor;NA;NA;NA
Anas Algaralleh;Actor;NA;NA;NA
Ali Elayan;Actor;NA;NA;NA
Ruba Shamshoum;Actress, Music Department;NA;NA;NA
Ahmad Srour;Actor;NA;NA;NA
Firas W. Taybeh;Actor, Camera Department, Director;NA;NA;NA
Husam Abed;Actor;NA;NA;NA
Fadia Abu Ayash;Actress;NA;NA;NA
Rafa' Abu Ayash;Actor;NA;NA;NA
Ammar Abu Shawish;Actor;NA;NA;NA
Mahmoud Al Hayek;Actor;NA;NA;NA
Bashar Al Khallaylleh;Actor;NA;NA;NA
Ahmad Al Muhaisan;Actor;NA;NA;NA
Ayoub Al Nahhas;Actor, Art Department, Art Director;NA;NA;NA
Yazan Al Rousan;Actor, Miscellaneous Crew;NA;NA;NA
Bashar Al-Kasawneh;Camera Department, Assistant Director, Miscellaneous Crew;NA;NA;NA
Yahya Alabdallah;Writer, Director, Producer;1978-07-05;Libya;NA
Rawd Amr;Actress;1987-12-06;Jordan;NA
Hamada Atallah;Costume Designer, Actor;NA;NA;NA
Kamal Awad;Actor;NA;NA;NA
Ossama Bawardi;Producer, Sound Department, Production Manager;NA;NA;NA
