"id";"link";"Title";"Year";"Time";"Relase";"Genre";"Storyline";"MPAA";"Country";"Ratings";"Ratings_max";"Users";"Reviews_number";"Budget";"Keywords";"Description";"Oscar";"Another_awards";"Nominations";"Music";"Produced";"Actors";"Director"
tt0494241;http://www.imdb.com/title/tt0494241/;Kalde fotter;2006;NA; 27 October 2006 (Norway) ;Comedy; Rough guy Kalle comes back to his home town loaded with cash, with only one though in mind: Getting Trine, the prettiest girl in town. But her fiancé is really in his way.            ;NA;Norway;4.8;10;320;3 user;        NOK 14,000,000     ;drunkenness@hashish@weed@wedding@vomit@shyness@sex addict@selfishness@saké@rich@punch@priest@nervousness@male virgin@goldfish@forgiveness@fictional brand@father son relationship@dysfunctional family@debut@cult film@countryside@cold feet@cockiness@cigarette smoking@cheating@car@brother sister relationship@betrayal@bachelor party; Private detective Varg Veum investigates a case where his good friend Evans, a highly decorated ex-army officer, is falsely accused of bombing armakon, a weapons storage facility, and to prove him innocent.              ;NA;NA;NA;Magnus Beite;Aage Aaberge@Brede Hovland;Lasse Valdal@Andreas Blix Henriksen@Sarah Elise Steensby@Hanna Kavli Lund@Calle Hellevang Larsen@Marit Andreassen@Oyvind Angeltveit@Benny Borg@Christin Borge@Carl Martin Eggesbo@Alexander Eik@Thea Danielsen Fjortoft@Irene Furnes@Stein Gronli@Kjell Gundersen;Alexander Eik
tt0132000;http://www.imdb.com/title/tt0132000/;Cannibal Hookers;1987;91 min;NA;Comedy@Crime@Horror; As a sorority initiation, two girls have to pose as hookers. Then they turn into zombies and start killing and eating the locals.            ;  See all certifications »             ;English;2.1;10;318;10 user;NA;sorority@hooker@gore@mother daughter relationship@bickering@topless girl@female nudity@bare chested male@bare chested male bondage@hairy chest@sex@cannibalism@murder@prostitution@independent film; Two girls hitch a ride from someone they think they can trust. After all, the driver is a woman. They endure humiliating perversions and excruciating pain. Their friendship warps as they are forced to perform sexual acts on each other for the twisted amusement of their captor. Escape is no easy thing to accomplish - they know they only have one chance because if they fail they will be killed. This movie explores the cycle of cruelty - how pain does not end with the victim. The ripples touch many, setting off new waves of torment.              ;NA;NA;NA;Jana Silver@Das Yahoos;Douglas Dunning@Donald Farmer@Katina Garner@Gary J. Levinson@David Reed;Drew Godderis@Sky Nicholas@Donald Trimborn@Michelle Fox@Katina Garner@Kristie Etzold@Ron McGonigle@Eric Caidin@Tommy Carrano@Sheila Best@Dusty Carlson@Annette Munro@Marya Gant@Rod Dailey@Diana de la Cruz@Amy Waddell@Gary J. Levinson@Nancy Milholland@Wayne Hyde@Cheryl Rusa@Dena Kellogg@Annette Kellogg@Matthew Borlenghi@Bonnie Bradigan@Douglas Dunning;Donald Farmer
tt2369543;http://www.imdb.com/title/tt2369543/;Pierwsze spojrzenie;2012;98 min; 13 June 2013 (Jordan) ;Drama; 1967. The world is alive with change: brimming with reawakened energy, new styles, music and an infectious sense of hope. In Jordan, a different kind of change is underway as tens of thousands of refugees pour across the border from Palestine. Having been separated from his father in the chaos of war, Tarek, 11, and his mother Ghaydaa, are amongst this latest wave of refugees. Placed in "temporary" refugee camps made up of tents and prefab houses until they would be able to return, they wait, like the generation before them who arrived in 1948. With difficulties adjusting to life in Harir camp and a longing to be reunited with his father, Tarek searches a way out, and discovers a new hope emerging with the times. Eventually his free spirit and curious nature lead him to a group of people on a journey that will change their lives. When I Saw You is the story of people affected by the times around them, in search of something more in their lives. A journey full of adventure, love, humor...                Written by Lamma Shoftak Co.            ;NA;Palestine@Jordan@Greece@United Arab Emirates;6.3;10;318;4 user;        $600,000           ;NA; 1967. The world is alive with change: brimming with reawakened energy, new styles, music and an infectious sense of hope. In Jordan, a different kind of change is underway as tens of thousands of refugees pour across the border from Palestine. Having been separated from his father in the chaos of war, Tarek, 11, and his mother Ghaydaa, are amongst this latest wave of refugees. Placed in "temporary" refugee camps made up of tents and prefab houses until they would be able to return, they wait, like the generation before them who arrived in 1948. With difficulties adjusting to life in Harir camp and a longing to be reunited with his father, Tarek searches a way out, and discovers a new hope emerging with the times. Eventually his free spirit and curious nature lead him to a group of people on a journey that will change their lives. When I Saw You is the story of people affected by the times around them, in search of something more in their lives. A journey full of adventure, love, humor, and the desire to be free. A story of the human spirit that knows no borders.              ;NA;6;4;Kamran Rastegar;Tariq Al Ghussein@Sawsan Asfari@Ossama Bawardi@Danny Glover@Annemarie Jacir@Christos V. Konstantakopoulos@Maya Sanbar@Rami Yasin;Mahmoud Asfa@Ruba Blal@Saleh Bakri@Anas Algaralleh@Ali Elayan@Ruba Shamshoum@Ahmad Srour@Firas W. Taybeh@Husam Abed@Fadia Abu Ayash@Rafa' Abu Ayash@Ammar Abu Shawish@Mahmoud Al Hayek@Bashar Al Khallaylleh@Ahmad Al Muhaisan@Ayoub Al Nahhas@Yazan Al Rousan@Bashar Al-Kasawneh@Yahya Alabdallah@Rawd Amr@Hamada Atallah@Kamal Awad@Ossama Bawardi;Annemarie Jacir
tt0204544;http://www.imdb.com/title/tt0204544/;I megali stigmi tou '21: Papaflessas;1971;130 min; 22 September 1971 (Greece) ;Adventure@Biography@History; The life and work of the hero of 1821 Papaflessas that during the liberation struggle of the Greeks against the Turks, revolutionizing the elders and the world to declare war!!! Up to the heroic battle Maniaki.... A movie that shows the heroism and sacrifice of the Greeks for their homeland and their freedom.                Written by Montana            ;NA;Greek;6.8;10;317;1 user;NA;greek history@epic@year 1821; The life and work of the hero of 1821 Papaflessas that during the liberation struggle of the Greeks against the Turks, revolutionizing the elders and the world to declare war!!! Up to the heroic battle Maniaki.... A movie that shows the heroism and sacrifice of the Greeks for their homeland and their freedom.              ;NA;2;NA;Dimitris Papakonstadis;Kostas Kapnisis;Dimitris Papamichael@Alekos Alexandrakis@Angelos Antonopoulos@Katia Dandoulaki@Dimitris Bislanis@Lavrentis Dianellos@Stavros Farmakis@Dimitris Ioakeimidis@Christos Kalavrouzos@Giannis Katranis@Giannis Kondoulis@Giorgos Kyritsis@Ilias Logothetis@Grigoris Masalas@Vasilis Mitsakis@Thodoros Moridis@Giorgos Moshidis@Christos Natsios@Hristos Politis@Makis Revmatas@Fernando Sancho@Stephanos Stratigos@Lazos Terzas@Elena Tsaldari@Dimitris Tsoutsis@Grigoris Vafias@Stavros Xenidis;Erricos Andreou
tt2380594;http://www.imdb.com/title/tt2380594/;El sheita elli fat;2012;96 min; August 2012 (Italy) ;Drama@History; Set against the momentous backdrop of the whirlwind Tahrir Square protests, Winter of discontent poetically explores the anguish of a victim state terror in 2009, presaging and intertwining with the pivotal events in 2011 that changed the face of Egypt. As the stories of the characters unfold, we are propelled headlong into the heady, often surreal atmosphere of terror and uncertainty that characterized the last days of Mubarak's rule.                Written by Anonymous            ;NA;Egypt;7.0;10;318;|;NA;NA; Set against the momentous backdrop of the whirlwind Tahrir Square protests, Winter of discontent poetically explores the anguish of a victim state terror in 2009, presaging and intertwining with the pivotal events in 2011 that changed the face of Egypt. As the stories of the characters unfold, we are propelled headlong into the heady, often surreal atmosphere of terror and uncertainty that characterized the last days of Mubarak's rule.              ;NA;4;NA;Ahmed Mostafa Saleh;Salah Alhanafy@Ahmed El Zoghby@Ibrahim El-Batout@Tamer Mortada@Amr Waked;Tamer Abdul-Hamid@Salah Alhanafy@Moataz Mosallam@Amr Waked@Farah Youssef;Ibrahim El-Batout
tt0954926;http://www.imdb.com/title/tt0954926/;Eduart;2006;104 min; 8 March 2007 (Greece) ;Drama; Based upon true events Eduart, a young man raised in a cruel and oppressive family environment, leaves Albania with the dream of becoming a rock star and living a better life. His reckless character and the passions of his youth lead him to commit a murder in Athens. Chased by everyone, even by his own self, he is imprisoned under the harshest conditions. Eduart, with the help of a German doctor, learns to feel sympathy for others and guilt for his crime. His deep remorse will lead him from darkness to light. Like the Dostoevskian hero Raskolnikov, Eduart passes from crime to punishment, by daring to admit his guilt. In international criminal history, the "Eduart case" occurs once in a hundred years.                Written by CL PRODUCTIONS LTD            ;NA;Albanian@German@Greek@English@French;6.5;10;317;1 user;        €1,500,000         ;murder@wound@train@surrender@snow@riot@prison@prison rape@prison hospital@one word title@male rape@jail@hatred@greece@gay kiss@gay bar@father son relationship@family dispute@border patrol@border crossing@arrest@animal attack@albanian@based on true story@character name in title; Based upon true events Eduart, a young man raised in a cruel and oppressive family environment, leaves Albania with the dream of becoming a rock star and living a better life. His reckless character and the passions of his youth lead him to commit a murder in Athens. Chased by everyone, even by his own self, he is imprisoned under the harshest conditions. Eduart, with the help of a German doctor, learns to feel sympathy for others and guilt for his crime. His deep remorse will lead him from darkness to light. Like the Dostoevskian hero Raskolnikov, Eduart passes from crime to punishment, by daring to admit his guilt. In international criminal history, the "Eduart case" occurs once in a hundred years.              ;NA;15;3;Kostas Christides@Minos Matsas;Dimitris Alexopoulos@Angeliki Antoniou@Dimitris Birbilis@Jordanco Cevrevski@Pellumb Duro@Gentiano Hazizi@Jost Hering@Kostas Kefalas@Grigoris Kokkinakis@Manos Krezias@Kostas Lambropoulos@Zoran Risteski@Arben Tasellari;Eshref Durmishi@André Hennicke@Ndriçim Xhepa@Ermela Teli@Adrian Aziri@Gazmend Gjokaj@Manos Vakousis@Edi Mehana@Ekrem Ahmeti@Hristos Antoniou@Dimitris Baboukidis@Ogzjim Bertji@Elhame Bilal@Platonas Brakoulias@Blerim Darlishta@Armando Dauti@Jean-Jacques Dechaut@Giorgos Douatzis@Thanasis Dovris@Visar Etemi@Meletis Georgiadis@Hasan Gioni@Antonis Hatzis@Besa Imami@Marios Ioannou@Ornela Kapetani;Angeliki Antoniou
tt0083609;http://www.imdb.com/title/tt0083609/;Bakuretsu toshi;1982;115 min; 13 March 1982 (Japan) ;Action@Music@Sci-Fi;NA;NA;Japanese;6.5;10;319;5 user;NA;cyberpunk@post apocalypse@dystopia@violence@brutality@riot@punk@punk rock@chaos@biker; At the end of the Spanish civil war, Fando, a boy of about ten, tries to make sense of war and his father's arrest. His mother is religious, sympathetic to the Fascists; his father is accused of being a Red. Fando discovers that his mother may have aided in his father's arrest. Sometimes we witness Fando imagining explanations for what's going on; sometimes we see him at play, alone or with his friend Thérese. Oedipal fantasies and a lad's natural curiosity about sex and death mix with his search for his mother's nature and his father's fate. Will Fando survive the search?              ;NA;NA;NA;Junji Sakamoto;Hiroshi Kobayashi;Michirou Endo@Shigeru Izumiya@Takanori Jinnai@Kou Machida@Shigeru Muroi@Shinya Ohe@Yasuto Sugawara@Jugatsu Toi@Umanosuke Ueda@Mayumi Ômura;Gakuryu Ishii
tt0060857;http://www.imdb.com/title/tt0060857/;Press for Time;1966;98 min; 8 December 1966 (UK) ;Comedy; Norman is quite happy selling newspapers outside Westminster station but his Grandfather (the Prime Minister) wants to get him "a more responsible job". A few favours are called in and Norman becomes the newest reporter at the seaside town of Tinmouth. After causing chaos at a local council meeting and causing the demolition of a new house he tries to organise a beauty pageant. A slapstick tale of corruption in high and low places.                Written by Steve Crook <steve@brainstorm.co.uk>            ;  See all certifications »             ;English;6.0;10;318;15 user;NA;actor playing multiple roles@three word title@independent film@based on book@actor shares first name with character; Norman is quite happy selling newspapers outside Westminster station but his Grandfather (the Prime Minister) wants to get him "a more responsible job". A few favours are called in and Norman becomes the newest reporter at the seaside town of Tinmouth. After causing chaos at a local council meeting and causing the demolition of a new house he tries to organise a beauty pageant. A slapstick tale of corruption in high and low places.              ;NA;NA;NA;Michael Vickers;Robert Hartford-Davis@Peter Newbrook;Norman Wisdom@Derek Bond@Angela Browne@Tracey Crisp@Allan Cuthbertson@Noel Dyson@Derek Francis@Peter Jones@David Lodge@Stanley Unwin@Frances White@Michael Balfour@Tony Selby@Michael Bilton@Norman Pitt@Hazel Coppen@Totti Truman Taylor@Toni Gilpin@Gordon Rollings@Carmen Dene@Rosemary Donnelly@Joanna Ford@Imogen Hassall@Helen Mirren@George Roderick@Valerie Stanton@Neil Wilson@Fred Wood;Robert Asher
tt0113928;http://www.imdb.com/title/tt0113928/;Nan yang shi da xie shu;1995;89 min; 14 September 1995 (Hong Kong) ;Comedy@Horror@Fantasy;NA;NA;Cantonese;6.2;10;319;11 user;NA;black comedy@impalement@noodles@violence@gore@finger bitten off@self cannibalism@cannibalism@blood spatter@decapitation@female full frontal nudity@foursome@extreme sexual content@ejaculation@semen@child murder@slashing@sliced in two@absurdism@female nudity@witchcraft@thailand@taoist priest@sex@sex magic@revenge@rape@penis@oral sex@nudity@martial arts@love potion@invisibility@group sex@ghost@evil sorcerer@erotica@death@brothel@blood@stop motion scene; A mad scientist transfers his mind to a wicked robot, which then embarks on a program of kidnaping, rape and murder, during which a female detective is killed. To fight the robot, the police woman's corpse is then made into a robotrix...              ;NA;NA;NA;Dion Lam;Ji-Chun Chan@Yin-leung Ma;Kwok-Pong Chan@Ellen Chan@Ben Ng@Bobbie Au-Yeung@Gwan Chin@Lily Chung@Woon Ling Hau@Julie Lee@Ta Lei@Meng Lo@Shui Ting Ng@Elvis Tsui@Bobby Yip@King-Tan Yuen;Man Kei Chin
tt0219469;http://www.imdb.com/title/tt0219469/;Poza podejrzeniem;2000;NA; 7 June 2000 (UK) ;Drama; For 13 years James Stockton has been a loving father and husband to his wife and daughter. He is respected and admired by all the people in the town that he lives in. But things are going to change, it seems that James recently went on what he told his wife was a business trip. However, his wife caught him telling her a lie. She then does a little snooping and finds a picture of a girl. He tells her that she's an old girlfriend who died 14 years ago. She then asks a friend to find her, she is told that she did die 14 years ago, but her boyfriend was not James Stockton but Johnny Mancini, the son of a New Jersey gangster, who disappeared 14 years ago and was also the prime suspect in her death. Is James Johnny Mancini and did he kill her? And that is not all that is going on, some men from New Jersey have come to James' hometown and it seems that they are law enforcement officers and that James knows the lead man, but they are not arresting him, it seems that there is something that ...                Written by <rcs0411@yahoo.com>            ;NA;English;5.7;10;317;10 user;NA;independent film; Set in the year 2005, a division of the FBI, called "NetForce" has been initiated to investigate Internet crime. A Bill Gates-type character finds a loophole in his new web browser which enables him to gain control of the Internet. Net-Force, headed by Kristofferson and Bakula's characters set out to stop him.              ;NA;NA;NA;Mark Adler;Christine Brewer@Jake Froelich@Sam Froelich@Anita Gershman@Larry Gershman@William R. Greenblatt@Sam Grogg@Phil Smoot@Betsy Wharton;Scott Bakula@Annabella Sciorra@George Dzundza@Edward Asner@Jack Blessing@Erin Cressida Wilson@Cait Gentile@Red West@Scott N. Stevens@John Boyd West@Jeremy Wood@Daniel La Rocque@Bonnie Johnson@Mike Stanley@Shane Callahan@Carl McIntyre@Stephani Victor@Erik Conti@Todd Davis@Robert Harris@Kathryn Jacobs@Wayne Jacobs@Barbara-Anne Johnson@Christy Johnson@Tom Mustin@Nelson Ranson@Todd Sandler@Maegen Worley@Michael Worley;Stephen La Rocque
