"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Jared Padalecki;Actor, Stunts;1982-07-19;USA;NA
Danielle Panabaker;Actress, Producer, Soundtrack;1987-09-19;USA;NA
Amanda Righetti;Actress, Producer;1983-04-04;USA;NA
Travis Van Winkle;Actor, Miscellaneous Crew;1982-11-04;USA;NA
Aaron Yoo;Actor, Cinematographer;1979-05-12;USA;NA
Derek Mears;Actor, Stunts, Writer;1972-04-29;USA;NA
Jonathan Sadowski;Actor, Producer;1979-11-23;USA;NA
Julianna Guill;Actress;1987-07-07;USA;NA
Ben Feldman;Actor, Writer;1980-05-27;USA;NA
Arlen Escarpeta;Actor, Miscellaneous Crew, Producer;1981-04-09;Central America;NA
Ryan Hansen;Actor, Cinematographer;1981-07-05;USA;NA
Willa Ford;Actress, Soundtrack;1981-01-22;USA;NA
Nick Mennell;Actor;NA;NA;NA
America Olivo;Actress, Producer, Soundtrack;1978-01-05;USA;NA
Kyle Davis;Actor;1978-07-09;USA;NA
Richard Burgi;Actor;1958-07-30;USA;NA
Chris Coppola;Actor, Soundtrack, Producer;NA;NA;NA
Rosemary Knower;Actress;NA;NA;NA
Bob King;Actor;NA;NA;NA
Nana Visitor;Actress, Soundtrack;1957-07-26;USA;NA
Stephanie Rhodes;Actress, Writer;NA;NA;NA
Caleb Guss;Actor;NA;NA;NA
Travis Davis;Actor, Director, Producer;1968-10-23;USA;2009-10-12
Kathleen Garrett;Actress;NA;NA;NA
Brittani Cox;Actress, Make Up Department;NA;NA;NA
Lawrence Dean;Actor, Producer;NA;NA;NA
Jaime De La Rosa;Actor, Miscellaneous Crew;1979-03-02;USA;NA
Woody Harrelson;Actor, Soundtrack, Producer;1961-07-23;USA;NA
Courtney Love;Actress, Soundtrack, Producer;1964-07-09;USA;NA
Edward Norton;Actor, Producer, Soundtrack;1969-08-18;USA;NA
Brett Harrelson;Actor, Miscellaneous Crew;1963-06-04;USA;NA
Donna Hanover;Actress, Producer;1950-02-13;USA;NA
James Cromwell;Actor, Producer, Soundtrack;1940-01-27;USA;NA
Crispin Glover;Actor, Soundtrack, Producer;1964-04-20;USA;NA
Vincent Schiavelli;Actor;1948-11-11;USA;2005-12-26
Miles Chapin;Actor, Miscellaneous Crew;1954-12-06;USA;NA
James Carville;Actor, Producer;1944-10-25;USA;NA
Richard Paul;Actor;1940-06-06;USA;1998-12-25
Burt Neuborne;Actor;NA;NA;NA
Jan Tríska;Actor;1936-11-04;Czechoslovakia (now Czech Republic);NA
Cody Block;Actor, Miscellaneous Crew;1984-04-02;USA;NA
Ryan Post;Actor;NA;NA;NA
Robert Davis;Actor, Director;NA;NA;NA
Kacky Walton;Actor;NA;NA;NA
