"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Alexandre Aja;Producer, Writer, Director;1978-08-07;France;NA
Marcus Nispel;Director, Producer, Writer;1963-04-15;Germany;NA
Sidney Lumet;Director, Producer, Writer;1924-06-25;USA;2011-04-09
Sean Ellis;Writer, Director, Producer;1970;UK;NA
Frank Capra;Director, Writer, Producer;1897-05-18;Italy;1991-09-03
Steven Soderbergh;Producer, Director, Cinematographer;1963-01-14;USA;NA
Milos Forman;Director, Writer, Actor;1932-02-18;Czechoslovakia [now Czech Republic];NA
Mel Smith;Actor, Producer, Director;1952-12-03;UK;2013-07-19
Gary Winick;Producer, Director, Editor;1961-03-31;USA;2011-02-27
Samuel Bayer;Director, Cinematographer, Writer;1962-02-17;USA;NA
Gareth Evans;Director, Writer, Editor;NA;NA;NA
Akira Kurosawa;Writer, Director, Assistant Director;1910-03-23;Japan;1998-09-06
Bennett Miller;Director, Cinematographer, Producer;1966-12-30;USA;NA
Lewis Gilbert;Director, Writer, Producer;1920-03-06;UK;NA
Guy Ritchie;Director, Producer, Writer;1968-09-10;UK;NA
Mamoru Oshii;Director, Writer, Art Department;1951-08-08;Japan;NA
Shawn Levy;Producer, Director, Actor;1968-07-23;Canada;NA
Sean Anders;Writer, Director, Producer;NA;NA;NA
Sean Anders;Writer, Director, Producer;NA;NA;NA
Nick Cassavetes;Actor, Director, Writer;1959-05-21;USA;NA
Kurt Wimmer;Writer, Director, Actor;1954;NA;NA
Michaël R. Roskam;Director, Writer, Actor;NA;NA;NA
George Clooney;Actor, Producer, Director;1961-05-06;USA;NA
David R. Ellis;Stunts, Assistant Director, Actor;1952-09-08;USA;2013-01-07
Andrey Konchalovskiy;Writer, Director, Producer;1937-08-20;USSR [now Russia];NA
Albert Magnoli;Director, Writer, Editor;NA;NA;NA
Garry Marshall;Writer, Producer, Actor;1934-11-13;USA;NA
Philip G. Atwell;Director, Assistant Director, Producer;NA;NA;NA
Billy Bob Thornton;Actor, Writer, Director;1955-08-04;USA;NA
Clyde Geronimi;Director, Animation Department, Writer;1901-06-12;Italy;1989-04-24
Wilfred Jackson;Director, Animation Department, Composer;1906-01-24;USA;1988-08-07
Hamilton Luske;Director, Animation Department, Producer;1903-10-16;USA;1968-02-19
Gregor Jordan;Director, Actor, Producer;1966;Australia;NA
John Badham;Director, Producer, Actor;1939-08-25;UK;NA
Gus Van Sant;Producer, Director, Writer;1952-07-24;USA;NA
Simon Curtis;Producer, Director, Actor;1960-03-11;UK;NA
Kevin Greutert;Editor, Editorial Department, Director;1965-03-31;USA;NA
Betty Thomas;Actress, Director, Producer;1948-07-27;USA;NA
Laurence Olivier;Actor, Producer, Director;1907-05-22;UK;1989-07-11
Mark Pellington;Producer, Miscellaneous Crew, Director;1962-03-17;USA;NA
Ryan Fleck;Director, Writer, Cinematographer;1976-09-20;USA;NA
Bobby Farrelly;Producer, Writer, Director;1958-06-17;USA;NA
Peter Farrelly;Producer, Writer, Director;1956-12-17;USA;NA
Kar Wai Wong;Writer, Director, Producer;1956-07-17;China;NA
John Polson;Actor, Producer, Director;1965-09-06;Australia;NA
Gore Verbinski;Director, Producer, Soundtrack;1964-03-16;USA;NA
Jim Jarmusch;Director, Actor, Writer;1953-01-22;USA;NA
Lewis Gilbert;Director, Writer, Producer;1920-03-06;UK;NA
Luis Llosa;Producer, Director, Writer;1951;Peru;NA
Adam Shankman;Producer, Miscellaneous Crew, Director;1964-11-27;USA;NA
Robert Luketic;Director, Writer, Producer;1973-11-01;Australia;NA
Daniel Alfredson;Director, Producer, Assistant Director;1959-05-23;Sweden;NA
Richard Lester;Director, Producer, Writer;1932-01-19;USA;NA
Richard Donner;Director, Producer, Actor;1930-04-24;USA;NA
Mike Mills;Director, Writer, Producer;1966;USA;NA
Terrence Malick;Writer, Producer, Director;1943-11-30;USA;NA
Jim Jarmusch;Director, Actor, Writer;1953-01-22;USA;NA
Guy Hamilton;Director, Assistant Director, Writer;1922-09-16;France;NA
John Glen;Editor, Assistant Director, Director;1932-05-15;UK;NA
Tarsem Singh;Director, Soundtrack, Writer;1961-05-26;India;NA
John Glen;Editor, Assistant Director, Director;1932-05-15;UK;NA
Guy Hamilton;Director, Assistant Director, Writer;1922-09-16;France;NA
John Carney;Director, Writer, Soundtrack;1972;Ireland;NA
Alfred Hitchcock;Director, Producer, Actor;1899-08-13;UK;1980-04-29
Michael Dowse;Writer, Director, Editor;1973-04-19;Canada;NA
Benh Zeitlin;Director, Writer, Cinematographer;NA;USA;NA
Joe Johnston;Director, Visual Effects, Producer;1950-05-13;USA;NA
Chris Butler;Art Department, Director, Writer;NA;NA;NA
Sam Fell;Director, Actor, Writer;NA;NA;NA
Guy Hamilton;Director, Assistant Director, Writer;1922-09-16;France;NA
Penny Marshall;Actress, Director, Producer;1943-10-15;USA;NA
Joshua Michael Stern;Writer, Director, Producer;NA;NA;NA
Norman Ferguson;Animation Department, Director, Production Manager;1902-09-02;USA;1957-11-04
James Algar;Director, Writer, Producer;1912-06-11;USA;1998-02-26
Samuel Armstrong;Director, Animation Department;1893-02-05;USA;1976-09-29
Ford Beebe Jr.;Assistant Director, Director, Producer;1913-08-20;USA;2006-02-22
Jim Handley;Assistant Director, Director;1914-05-16;USA;2003-01-17
T. Hee;Writer, Art Department, Animation Department;1911-03-26;NA;1988-10-30
Wilfred Jackson;Director, Animation Department, Composer;1906-01-24;USA;1988-08-07
Hamilton Luske;Director, Animation Department, Producer;1903-10-16;USA;1968-02-19
Bill Roberts;Director, Animation Department, Miscellaneous Crew;1899-08-02;USA;1974-03-18
Paul Satterfield;Animation Department, Director;1896-03-27;USA;1981-08-14
Ben Sharpsteen;Director, Animation Department, Producer;1895-11-04;NA;1980-12-20
Alan J. Pakula;Producer, Director, Writer;1928-04-07;USA;1998-11-19
Marc Forster;Director, Producer, Writer;1969-11-30;Germany;NA
Jon Turteltaub;Producer, Director, Writer;1963-08-08;USA;NA
Pat O'Connor;Director, Writer;1943;Ireland;NA
Hideo Nakata;Director, Writer, Producer;1961-07-19;Japan;NA
Roland Emmerich;Producer, Director, Writer;1955-11-10;Germany;NA
Jerome Robbins;Miscellaneous Crew, Writer, Director;1918-10-11;USA;1998-07-29
Robert Wise;Director, Producer, Editor;1914-09-10;USA;2005-09-14
Tim Burton;Producer, Miscellaneous Crew, Director;1958-08-25;USA;NA
Peter Jackson;Producer, Director, Writer;1961-10-31;New Zealand;NA
Nancy Meyers;Writer, Producer, Director;1949-12-08;USA;NA
