"id";"text"
tt0400598; Adults often don't try to watch kids movies, except if they have to, as their own children's company. And they find it to be punishment or wasted time. Often not without a reason. But Lepel is a movie that should be watched without prejudices, and it will give you a lot in return, on the adult level.It is a movie about dreams, a dreams that can't turn to reality, analyzing limits how far can we go trying to live with or in them, and what are the compromises we make not to give them up completely, so at least a part of those dreams can come true.We see a boy who dreams his parents will return home. They are supposed to travel around the world, that's what his grandmother tells him.. But she is abusing him, while he is dreaming about his mother he doesn't see or doesn't care for abuse and for obvious lies she is telling him. We see a shy salesman in love with his female boss, doing the best work to impress her, but afraid to say a word, let alone ask her for a date, scared to lose the dream he lives in. We see a woman, trained driver, working in a store and dreaming of going to Africa rally but aware that she, as a woman, doesn't have a chance to do it - and still she keeps on practicing. We see a teacher eager to have his pupil win the mathematics contest, ready to kidnap a boy, help abuser, cheat children, just to have his dream come true. We see a girl, victim of mother's abuse, who only wants to stay unnoticed for as long as she can, and never to have any mother again - but finding herself in situation to help a boy desperately seeking for one.And all the dreams will somehow be realized... but not a single in a simple way, without sacrifices and compromises.A scene where a friendly salesman helps boy in search for new mother, and more than a hundred women take part in interview, asks us unpleasant questions about family in today society, when many women offer themselves as (foster)mothers, but mostly for selfish reasons, ready to do and give only what the boy had in his previous dysfunctional family. And the only good adult female person refuses to be a mother, because today families and parenting are so complicated that she feels she is not up to do it. People who have heart and conscience are rare, and don't fit in our world.In most children movies runaway kids have numerous adventures, they solve mysteries, find treasures, they are smarter than adults, go from peril to peril and nothing can happen to them. And if they have a company, police or secret services can't do anything to beat them.Kids in Lepel are not superheros. Yes, Lepel runs away, but he doesn't go to distant country or desert island. He lives in neighbourhood warehouse. A crowded place where he can hide, but always in danger to be found. Yes, a girl helps him. A girl who also lives there, for a long time. Unbelievable? For a short while, but then we learn that a salesman knows she is there, he helps her all the time, hides her, prevents other people to find her hiding place. These makes the story almost realistic.But a big flaw waits (as usually) till the end. Our older hero Max, salesman, is a lousy driver. But, to impress his boss who he is in love with, he drives a borrowed car so good that she takes him as a co-driver for the really race in Africa. And he drove so good only because a 8 year old boy (who also, of course, isn't a driver) tells him how to do it, using his knowledge of maths... So, goodbye driving instructors, all you need is a kid and in a few minutes you are new Schumacher or Loeb.Other than that, a film can be recommended to people who still have heart and conscience... and, let's hope, a family. 
tt0400598; I concur with what's been said here. A few additions: Loes, Carice and Max (the three main adult characters) play caricatures rather than personages - and they do this very well. This was to be expected of Loes Luca, whose middle name is "absurd", but seeing how Carice van Houten pulls off painting a non-dimensional character is amazing. She leaves Max, Pell--- um, Lepel, and Pleun, and you - and your children or grandchildren - guessing for almost the entire duration of the film. I knew she could play character roles with many dimensions, but this role of her is an achievement in itself. Perhaps that's a kids' eye view of adults - at least it makes it easier, even for someone pushing 50, to identify with the children. Lepel is called Lepel because he wears a "bracelet" that consists of a strand with 5 cubes with letters on his wrist: L E P E L. Try to imagine these five letters in a circle. Now, push the first two letters around the circle so that they end up being the last two, and you get the boy's real name. Because he's lost his memory, he doesn't know this. The fact that the alleged grandmother doesn't know the boy's name indicates that she is likely not be his real grandmother. The film also lightly brushes the subject of autism - the main character has trouble dealing with social relationships, but is excellent with numbers. All in all, an excellent, underrated film. Suitable for children, but there are layers in there that will please adults as well. 
tt0400598; Although I can't really write any kind of review without some memories of one of the main characters I'll try to write about the film a little, without telling too much. Lepel is a film about a boy, a boy whose parents are on a trip around the world in a hot-air balloon. He lives at his grandmothers' house which is also a shop for buttons. She makes him do loads of work and he obviously dislikes it, although he has gotten used to it I guess. He asks about his parents sometimes and his grandmother tells him time-and-time again they will return. One day, while at a big warehouse his life turns upside down after receiving a balloon from a salesman. Then the ride actually begins, we see the little kid making friends, having personal troubles and desperately trying to do what he thinks is best. At one point he is told very bad news and there is where my hard part was. Until this point it was mostly about feeling good, but here it changed for me... This is where I really got connected to the little kid (played by Joep Truijen) whose acting was actually very nice. The grandmother is played by Loes Luca whose performance is really great, Neeltje de Vree plays Pleun and is not always up to par which is really too bad, although her role is quite difficult. Barry Atsma (playing Max) is a little bit too much of a softy for me, as for Juffrouw de Boer (Carice van Houten): I can't really comment on her, we used to be in high school together thus my vision of her work is quite blurred.I would recommend this film for Sunday afternoons, preferably with kids from age 7 until 13-14. 
tt0008891; the blue bird from 1918 is one of the most beautiful, captivating films of all time. it is the story of 2 poor children who are visited by a fairy on Christmas eve. the fairy shows them how to see things through the eyes of God. she teaches them about what is truly important in life. they follow the fairy through many events and learn something new from each experience. if you have not seen this great silent film or have seen another version, then please take the time to watch this masterpiece, you will never forget it. the young girl who plays mytel (tula belle) is nothing short of tremendous. her acting is very natural and has a realism i've never seen in another child star. tula's facial expressions even without speech, is more effective than most child stars with both mediums. tula belle's performance in the blue bird is probably the single best performance by a child star of all time. 
tt0008891;  Maurice Maeterlinck's wonderful play is transformed into a magical film by Maurice Tourneur, one of the masters of early cinema.  Maeterlick's belief, that beauty is to be found in all things, is here given life in a film that works for adults and children.The visuals are splendid, and the effects gorgeous (reminiscent of Melies in some scenes and German expressionism in others).  And the two little children give excellent performances.The Grapevine Video print is very good, but it does have some nitrate decomposition, which is very sad.  I hope there is a pristine print of this masterpiece in an Archive somewhere - it deserves preservation.It will remind you of the 1939 "Wizard of Oz", especially in costume and sentiment, but pre-dates it by over 20 years.  An unmissable silent gem.   
tt0008891; There seem to be only a few directors of cinema's infancy whose films are worth much attention, Maurice Tourneur is one of them. His films may not always be the most entertaining, but most of them that I've seen contain something that interests. "Alias Jimmy Valentine", for example, has major story problems, but the heist scene is outstandingly filmed for 1915. Here, too, the allegorical messages (the bluebird is happiness and such) are too sappy at times, but then there's an inspired shot or something else innovative.The dark, flickering transfer of a deteriorated, bleeding print surely takes away from much of the visual qualities of this picture, but some of the photography and the color tinting shines through. Tourneur had some preparation for the dreamland journey of this film with the dream climax in "The Poor Little Rich Girl" of the previous year. The wonder and imagination of a child are well affected. Despite its age, the film's best element is still apparent, I think that is its awareness. Perhaps, most obviously, this film is comparable to "The Wizard of Oz" (1939), but more so to the 1914 trilogy, which Baum produced. The animal costumes are especially reminiscent, as are the cheap, but nice-looking backdrops and sets. Showing even more awareness are the trick shots in the way of a MA©liA®s fantasy and the final shot where the boy turns to the camera and directly addresses the audience concerning the film's parable. So, to an extent, Tourneur overcomes the wear of age and the kiddy bluntness of the allegory. 
tt0008891; Somewhere or anywhere, during a snowy winter, young Robin Macdougall (as Tyltyl) and little sister Tula Belle (as Mytyl) learn their neighbor's child is sick. The ailing girl thinks she might be well and happy if she could only have young Tyltyl's caged bird, but Mytyl decides the siblings won't give it up. That evening, they are awakened by a winged fairy, Lillian Cook (as Berylune), who sets them off on a quest to find the elusive "Bluebird of Happiness" and put it in their suddenly empty cage.Companions like humanized feline Tom Corless (as Cat) consider sabotaging the mission, because he, canine Charles Ascot (as Dog), and other manifestations of inhumanity learn they will cease to exist if and when the children achieve success. Tyltyl and Mytyl search far and wide for the Bluebird of Happiness - meeting not only their dead grandparents, but also their future brother during their journey - but the creature remains hidden where they least expect to find it¬  "The Blue Bird" is filled with beautiful thoughts from the original Maurice Maeterlinck play. Homilies like "Heaven is where you and I kiss each other¬ " seems as good a definition as any. With majestic allegory by director Maurice Tourneur, production designer Ben CarrA©, and their crew, it was probably unwise to try to improve this orchestrated silent version of "The Blue Bird" - and filmmakers famously failed twice. Despite the ravages of time, this is the definitive version of the classic story.Regrettably, the film has deteriorated beyond restoration in some spots. Moreover, some cutting has been done. Most famous is the trimming of a nude child sleeping right of mother "Night" - still, the naked form appears full, early in the sequence. Probably, the censors left the long shots intact. The children were modestly and tastefully photographed, by the way. Also, it does seem like some exposition is missing about the diamond-studded hat Tyltyl is given - the turning of which prompts magic.After the huge success of Mary Pickford as "The Poor Little Rich Girl" (1917), Mr. Tourneur was obviously riding a creative peak. Within a year, he had three more critically acclaimed classics - "Barbary Sheep" (1917), "The Blue Bird" (1918), and "Prunella" (1918). All three placed in "Motion Picture" magazine's year's best photoplays (at #4, #6, and #3).Probably, "The Blue Bird" was too long and episodic a flight for most 1918 theatergoers, and the film performed less than spectacularly at the box office. Potential plot threads, like the Cat's mutiny, appear curiously underdeveloped. Still, the film's beauty shines through. And, the dream-like quality present in the tinted, flickering, wordless scenes only add to the magic.Perhaps most incredible is the not original, yet startling in context ending - young Tyltyl (Macdougall) unexpectedly "speaks" directly to the audience (about the quest) while the once sickly, but now beautiful young Katherine Bianchi smiles knowingly at his side - sister Mytyl (Belle) is regulated to the background, most definitely pondering this latest turn of events¬  ********* The Blue Bird (3/31/18) Maurice Tourneur ~ Robin Macdougall, Tula Belle, Lillian Cook, Tom Corless 
tt0008891; As it is well-known among silent film connoisseurs, the fine Arts were an essential influence on silent films in general and Herr Maurice Tourneur's work in particular. His beautiful oeuvres gave him fame and prestige around the world from his French period in the mid 10's to his career in the USA."The Blue Bird" (1918) tells the story of two poor children, Mytyl and Tyltyl, who are led by the fairy Berylune in the search, around a fantastic world, for the blue bird of happiness. The film belongs to Herr Tourneur's American silent film period, and in this movie it is possible to watch all his artistic virtues in full display. This early astounding production is striking even today for its great artistic merits. The film was based on a book written by the Belgian poet Herr Maurice Maeterlinck and maybe Herr Tourneur during his young days could have illustrated it due to his earlier career as a book illustrator or¬  MEIN GOTT!!! Perhaps he even read it! In any case, Herr Tourneur adapted and transferred the fairy tale story to the silent screen in a superb way.The film exudes classicism and even romanticism, artistic subjects that Herr Tourneur know very well how to employ in the world of fantasy. There is amazing art direction, elaborate decors and costumes and witty technical effects, not to mention the inventiveness that can be seen in every shot of the film and in the beautiful, exemplary photography of Herr John van den Broek and Lucien Andriot that captures the atmosphere of the classical fairy books through a cinema lens in a masterly way.Probably the story can be considered as affected, even innocent in this modern time but even that has a special value in artistic terms for this film, that baroque taste and out of date atmosphere fit perfectly in the story that moves from the real to the dream world, from the real to the unreal. Herr Tourneur's interpretation of this fantastic universe is a prodigious work, imaginative and inventive and shining with brilliant artistic merits.And now, if you'll allow me, I must temporarily take my leave because this German Count must listen to the gracious caw of the Schloss crows.Herr Graf Ferdinand Von Galitzien http://ferdinandvongalitzien.blogspot.com/ 
tt0008891; Maurice Maeterlinck's play "The Blue Bird" was produced for the first time in America in October 1910 and was considered a success. If Maurice Tourneur's film productions of both "The Blue Bird" and "Prunella" had met with the success they deserved, they may have paved the way in the twenties for a fantasy film genre instead of the over population of sheiks and flappers!! Most critics were abundant in their praise - "The Moving Picture World" saw in it "the simplicity of childhood and the wisdom of deep and kindly philosophy", Photoplay also praised it as "one of the most important productions ever made" but unfortunately Motion Picture Magazine spoke for the philistine portion of the public when it said "Seven reels of children and trailing through fairy places with bread, water, light and fire is frankly tedious on the screen". The production values were moral and allegorical as well as beautifully pictorial and those of the public that rejected it were all the worse for it.When Mytyl refuses to give her little bird to the sickly child across the way she and brother Tyltyl are visited by a strange old fairy who sends them on a journey of self discovery and to seek the true meaning of happiness. They first meet the spirit of water and fire that their mother had told them about (and they had scoffed at her), their dog and cat then begin to converse with them and tell them all the stories they could only bark and miaow out before.The special effects performed by Ben Carre who was closely associated with Maurice Tourneur, are extraordinary. The children are magically dressed, spilt milk turns into a lovely maid and the fairy of light finally whisks them all to the Fairy Palace, flying high above the roof tops. However Fairy Berylune, who first came to the children has said that whoever finishes the journey with the children shall die - so the cat leads the party who will try to stop the children finding the blue bird. Only the faithful little dog promises to protect them. The Underground Palace of Night - Mother Night has two children, Sleep and Death (probably a bit heavy going for children in the audience) and Mytyl and Tyltyl also find ghosts, sickness, War and terrors behind heavy wooden doors - but no blue birds. They visit the graveyard where the "happy dead sleep" but at a turn of TylTyl's diamond it becomes a beautiful flower land. They finally find the blue bird at their grandparent's little house where they also visit their little brothers and sisters who died in infancy. Unfortunately, when they leave, the blue bird flies away. On to the Palace of Happiness where luxury and riches abound, then there is also the "Happiness of the Home", "Joy of Pure Thoughts" and "Springtime". Another amazing sequence was in the land of children waiting to be born. A ship was waiting to take all the little children to their waiting mother's arms.Enchanting Tula Belle was born in Norway and was just wonderful as Mytyl, a real child if ever there was one. Unlike the two other youngsters in "The Blue Bird" , Robin MacDougall and Katharine Bianchi, she did have a reasonable career as a child actress before retiring in 1920.Highly, Highly Recommended. 
tt0008891; It's a pity that the 1918 version of "The Blue Bird" suffers so much from nitrate decomposition. Were it not for that I would give it a full 10 points. Nonetheless, what we have is sufficient to give great pleasure and it is certainly far superior to the 1940 version with Shirley Temple.Some of the scenes have a rather staged look but, even so, one admires the beautiful¬<U+0097>often elegant¬<U+0097>artistic consciousness in their presentation. This is particularly true of the backdrops. Generally, I thought the restoration was pretty good with effective use of tinting to make the most of the emotional atmosphere of the various sequences.I liked the presentation of the message¬<U+0097>always an important factor in a fairy tale. The quest for happiness which is always found to be closer than we expect, the discovery of joy in the joy of others, the beautiful and wonderful intangible world of the imagination and the truth of dream¬<U+0097>all these are beautifully presented through the innocence of the children. And here one must admire the performances of little Tula Belle as Mytyl and Robin Macdougall as Mytyl's older brother, Tyltyl. Tula, particularly, has an engaging naturalness which is wonderful. Dog and Cat look forward to "The Wizard of Oz" and the actors certainly convey the habits of the creatures they portray.The allegory with its spiritual message was reminiscent of the Narnian series of C.S. Lewis and the way the point was driven home at the end was very effective. Finally, I think that the music score showed excellent taste and skill in the way it was wedded to the film.The Blue Bird is a beautiful film with a universal message. 
